escenario,semanas_imputadas,correlacion_con_base,validacion_RMSE,validacion_MAE,validacion_sMAPE,prueba_RMSE,prueba_MAE,prueba_sMAPE,prueba_semanas_observadas,ljung_p_10,ljung_p_20,pronostico_medio_8s,pronostico_min_8s,pronostico_max_8s
"Media, cobertura 75%",10,1.0,35.987703471276625,29.243176577183313,10.233800833243809,30.233986959056406,28.890216530955115,10.02556210858312,7,0.5723751735754109,0.308137334801866,312.2411773190424,308.18260218885064,314.1473327751144
"Media, cobertura 50%",1,0.9503297057808656,36.20422445259567,28.689426321678944,10.046076320775024,29.968225248200028,28.141615957193203,9.735625574476355,8,0.6990737956391351,0.5066426505312223,315.3572387071229,314.0984290917788,317.9382431553769
"Media, sin umbral",0,0.9502971979510149,36.20203888823178,28.690897878710754,10.0465742935024,29.967672092776965,28.141404775423666,9.735527483669541,8,0.6976635248075986,0.5052180226941627,315.3544477697918,314.0946414649867,317.938248458989
"Mediana, cobertura 75%",10,0.9747681056588194,43.42094040643206,35.75764376219794,13.000086523176362,35.08286745025034,31.862024800033556,12.392231727197247,7,0.7606407649418387,0.5992918188715304,301.6670713889709,299.7883587158806,302.7174993034416
"Media DM+RE, cobertura 75%",25,0.9661409156459086,35.44264427522344,28.82765083229898,10.085234070822423,25.7798504592959,24.101174302260535,8.390390592275388,7,0.1416398634682879,0.09943356527856492,305.19487220116855,299.23441133697395,306.6638004919428
