semana_fin,horas_validas,nox_media_mg_nm3,nox_mediana_mg_nm3,nox_sd_mg_nm3,nox_min_mg_nm3,nox_max_mg_nm3,horas_esperadas,cobertura,semana_utilizable,semana_completa_en_periodo,usar_modelamiento
2020-01-05,115,328.0706436820652,328.8030090332031,33.133734768855,270.92401123046875,397.9289855957031,168,0.6845238095238095,False,False,False
2020-01-12,164,313.3059452336009,306.9570007324219,33.23695937439278,259.3510131835937,419.552001953125,168,0.9761904761904762,True,True,True
2020-01-19,161,309.01909300999614,303.8059997558594,28.570806941817963,270.0400085449219,408.3559875488281,168,0.9583333333333334,True,True,True
2020-01-26,148,356.07812871159734,358.0574951171875,37.99137071225994,294.87799072265625,428.4880065917969,168,0.8809523809523809,True,True,True
2020-02-02,166,334.3566263957196,330.45899963378906,26.729993217394096,283.4599914550781,406.7630004882813,168,0.9880952380952381,True,True,True
2020-02-09,167,325.44691650025146,325.77398681640625,58.817038354387286,233.46099853515625,561.8300170898438,168,0.9940476190476191,True,True,True
2020-02-16,166,309.0742360310382,310.5240020751953,21.593289851128148,242.76199340820312,386.1929931640625,168,0.9880952380952381,True,True,True
2020-02-23,161,371.7200252935753,365.4030151367188,46.67783220307855,297.2279968261719,568.3209838867188,168,0.9583333333333334,True,True,True
2020-03-01,167,333.080664172144,330.7900085449219,25.87195724749706,264.0140075683594,393.6189880371094,168,0.9940476190476191,True,True,True
2020-03-08,168,340.5161193666004,328.1080017089844,51.95160459358848,242.22999572753903,437.3559875488281,168,1.0,True,True,True
2020-03-15,168,339.406981695266,340.57598876953125,32.94305699493621,257.75201416015625,402.3810119628906,168,1.0,True,True,True
2020-03-22,164,345.37451320741235,344.69749450683594,20.11745167295412,279.5390014648437,440.1969909667969,168,0.9761904761904762,True,True,True
2020-03-29,168,355.97215379987443,356.7034912109375,27.53478403624706,300.2269897460937,429.6409912109375,168,1.0,True,True,True
2020-04-05,168,394.01393981206985,397.6289978027344,27.37129462309865,303.4320068359375,455.1380004882813,168,1.0,True,True,True
2020-04-12,168,388.31678626650853,388.3625030517578,19.090377459642216,284.4309997558594,429.25299072265625,168,1.0,True,True,True
2020-04-19,167,386.9801856857574,386.1860046386719,19.950583717060667,347.2550048828125,447.6579895019531,168,0.9940476190476191,True,True,True
2020-04-26,161,364.2407960121676,358.2969970703125,28.60523534356141,304.69000244140625,421.6480102539063,168,0.9583333333333334,True,True,True
2020-05-03,164,285.1194457077398,281.72300720214844,30.00546981306293,226.72900390625,355.9119873046875,168,0.9761904761904762,True,True,True
2020-05-10,168,294.8647622608003,290.59600830078125,45.79674383642368,225.69700622558597,446.7879943847656,168,1.0,True,True,True
2020-05-17,168,299.88863654363723,293.83349609375,29.51573235044833,237.3029937744141,390.7669982910156,168,1.0,True,True,True
2020-05-24,157,276.24605127808394,273.0599975585937,22.020448046367864,243.97900390625,331.0400085449219,168,0.9345238095238095,True,True,True
2020-05-31,167,297.0984666104802,300.9490051269531,24.32195832529348,232.33799743652344,347.4639892578125,168,0.9940476190476191,True,True,True
2020-06-07,168,338.24176842825756,336.2934875488281,18.606642073737937,289.4289855957031,383.1990051269531,168,1.0,True,True,True
2020-06-14,166,327.7201019654791,324.6405029296875,10.662464895805158,307.56201171875,364.1579895019531,168,0.9880952380952381,True,True,True
2020-06-21,168,315.8412319365002,316.55299377441406,10.14403671934997,289.00201416015625,348.04901123046875,168,1.0,True,True,True
2020-06-28,150,329.8330265299479,326.9024963378906,15.920307200179298,284.18701171875,374.8320007324219,168,0.8928571428571429,True,True,True
2020-07-05,168,335.6708154224214,331.1269989013672,14.73656652038107,313.4639892578125,394.0830078125,168,1.0,True,True,True
2020-07-12,168,327.52195848737443,312.0050048828125,37.240827812361594,266.9750061035156,487.6099853515625,168,1.0,True,True,True
2020-07-19,168,328.43837946937197,324.53350830078125,52.182960733036914,226.6719970703125,546.02001953125,168,1.0,True,True,True
2020-07-26,158,366.62892266768444,352.15599060058594,57.310754653419956,299.8389892578125,632.2520141601562,168,0.9404761904761905,True,True,True
2020-08-02,163,315.016356017692,311.0769958496094,28.82099769030832,236.85899353027344,496.8710021972656,168,0.9702380952380952,True,True,True
2020-08-09,168,342.9786126273019,322.6210021972656,50.14713490578983,276.4700012207031,517.22998046875,168,1.0,True,True,True
2020-08-16,168,349.54560143607006,328.8294982910156,67.36912856469536,257.6010131835937,594.8380126953125,168,1.0,True,True,True
2020-08-23,160,369.2311500549316,354.9965057373047,46.04902005457362,302.1340026855469,524.6170043945312,168,0.9523809523809523,True,True,True
2020-08-30,168,379.84590875534786,378.76148986816406,53.730565186376566,246.98199462890625,545.8480224609375,168,1.0,True,True,True
2020-09-06,168,384.9573803856259,383.0749969482422,20.648922009985405,335.9620056152344,457.1000061035156,168,1.0,True,True,True
2020-09-13,157,371.65901913005075,364.5140075683594,35.80807585999195,295.3630065917969,495.864013671875,168,0.9345238095238095,True,True,True
2020-09-20,167,325.11791041939557,322.7770080566406,22.170189671109075,277.34600830078125,407.135009765625,168,0.9940476190476191,True,True,True
2020-09-27,168,331.3802381243025,330.41648864746094,31.53782223350596,266.8169860839844,400.5119934082031,168,1.0,True,True,True
2020-10-04,168,356.626905134746,362.9985046386719,60.17608614880384,21.67200088500977,504.1499938964844,168,1.0,True,True,True
2020-10-11,127,376.14075475978103,363.3299865722656,47.16374686724418,274.22900390625,685.1510009765625,168,0.7559523809523809,True,True,True
2020-10-18,103,44.23712587819516,0.0,101.00090690508948,0.0,586.56298828125,168,0.6130952380952381,False,True,False
2020-10-25,168,294.0742800576346,289.94200134277344,33.938730441904504,237.84300231933597,406.8089904785156,168,1.0,True,True,True
2020-11-01,168,284.51966739836195,284.0544891357422,47.90748443268549,128.01499938964844,442.9129943847656,168,1.0,True,True,True
2020-11-08,168,292.1204107375372,284.2314910888672,42.10476502502873,189.83599853515625,451.1889953613281,168,1.0,True,True,True
2020-11-15,168,327.32651147388276,327.08349609375,36.61230945200576,216.7239990234375,404.4670104980469,168,1.0,True,True,True
2020-11-22,168,315.9157491411482,307.2275085449219,32.376496177689035,256.9330139160156,421.1919860839844,168,1.0,True,True,True
2020-11-29,168,322.5568626040504,313.7034912109375,31.419184470597788,268.2349853515625,456.6390075683594,168,1.0,True,True,True
2020-12-06,146,284.2717740829677,279.78001403808594,26.857543668772298,221.7469940185547,374.8190002441406,168,0.8690476190476191,True,True,True
2020-12-13,162,262.7349886482145,255.39100646972656,26.932303817412663,216.94000244140625,369.510009765625,168,0.9642857142857143,True,True,True
2020-12-20,168,257.45589274451845,251.28199768066406,23.087078030579036,214.6820068359375,374.9660034179688,168,1.0,True,True,True
2020-12-27,168,283.6445597694034,279.0845031738281,32.76302057068547,226.2270050048828,351.6430053710937,168,1.0,True,True,True
2021-01-03,164,280.40070733791447,282.9150085449219,22.971322819944536,185.218994140625,319.1669921875,168,0.9761904761904762,True,True,True
2021-01-10,168,273.180819829305,269.46600341796875,21.924665864572262,235.66900634765625,361.4150085449219,168,1.0,True,True,True
2021-01-17,168,278.28443545386904,265.59149169921875,35.42922767983963,218.42300415039065,443.4490051269531,168,1.0,True,True,True
2021-01-24,167,243.3424786778981,241.36399841308597,19.689340571923992,199.40499877929688,288.50201416015625,168,0.9940476190476191,True,True,True
2021-01-31,168,254.57314291454497,254.6884994506836,18.731789020210286,184.2400054931641,298.1180114746094,168,1.0,True,True,True
2021-02-07,168,262.8941846575056,261.8975067138672,31.756460841362202,212.6360015869141,361.6449890136719,168,1.0,True,True,True
2021-02-14,158,261.9050129757652,260.6090087890625,41.231015978775005,162.35000610351562,370.9540100097656,168,0.9404761904761905,True,True,True
2021-02-21,168,230.37977945236932,241.16300201416016,24.603591331075968,174.06500244140625,278.5220031738281,168,1.0,True,True,True
2021-02-28,166,213.23315677872623,214.49500274658203,17.127909544870928,181.6080017089844,292.61199951171875,168,0.9880952380952381,True,True,True
2021-03-07,168,209.6455837431408,207.63399505615232,24.501286156568867,178.54800415039062,431.2780151367188,168,1.0,True,True,True
2021-03-14,168,213.77984491984049,217.46149444580078,16.87369968272385,179.87100219726562,248.8939971923828,168,1.0,True,True,True
2021-03-21,163,210.0534666096506,205.35299682617188,17.890459359372425,182.3459930419922,299.65399169921875,168,0.9702380952380952,True,True,True
2021-03-28,168,211.50958978562127,208.2249984741211,21.32768580363771,168.9810028076172,284.7909851074219,168,1.0,True,True,True
2021-04-04,166,202.81309647157968,195.18599700927734,19.468685035485432,177.7239990234375,293.7980041503906,168,0.9880952380952381,True,True,True
2021-04-11,168,255.9077151162284,213.6469955444336,89.66890308773908,175.85800170898438,560.1500244140625,168,1.0,True,True,True
2021-04-18,167,228.5792466580511,255.2140045166016,154.0740439577683,0.0,565.8989868164062,168,0.9940476190476191,True,True,True
2021-04-25,157,111.90279638691312,0.0,146.6565802345066,0.0,539.9920043945312,168,0.9345238095238095,True,True,True
2021-05-02,162,255.12464904785156,225.1824951171875,67.06915686876546,199.99099731445312,441.8699951171875,168,0.9642857142857143,True,True,True
2021-05-09,161,231.89156516886646,221.05599975585935,42.261491634913206,173.56199645996094,453.7200012207031,168,0.9583333333333334,True,True,True
2021-05-16,168,231.35344632466635,223.58900451660156,23.34106570289634,197.8769989013672,323.9769897460937,168,1.0,True,True,True
2021-05-23,163,288.5073008156993,239.6909942626953,78.25080186082762,199.95899963378903,398.68798828125,168,0.9702380952380952,True,True,True
2021-05-30,168,220.11241604032972,218.5250015258789,11.365324646323678,198.6009979248047,261.6239929199219,168,1.0,True,True,True
2021-06-06,168,232.0687670934768,227.32450103759766,37.5722519928247,166.5240020751953,479.5239868164063,168,1.0,True,True,True
2021-06-13,168,264.21630380267186,258.4664993286133,136.4245900886936,9.017999649047852,683.510009765625,168,1.0,True,True,True
2021-06-20,159,275.03656687226686,264.8320007324219,31.953286910114713,235.8789978027344,373.6629943847656,168,0.9464285714285714,True,True,True
2021-06-27,153,259.4032867032718,248.8950042724609,33.90117052276988,205.46600341796875,351.1679992675781,168,0.9107142857142857,True,True,True
2021-07-04,168,258.0469645545596,254.29299926757812,17.766017240817813,230.94000244140625,342.3309936523437,168,1.0,True,True,True
2021-07-11,160,234.77655549049376,252.12200164794922,52.56425683706579,58.06800079345703,315.593994140625,168,0.9523809523809523,True,True,True
2021-07-18,159,217.8117543826313,229.13900756835935,63.56516436918865,22.299999237060547,365.8429870605469,168,0.9464285714285714,True,True,True
2021-07-25,156,309.8464821638205,281.9965057373047,225.45438528243582,7.206999778747559,2782.4541015625,168,0.9285714285714286,True,True,True
2021-08-01,166,241.70744002009013,223.56049346923828,55.00452219274844,188.91000366210935,459.60400390625,168,0.9880952380952381,True,True,True
2021-08-08,168,212.96010099138533,213.17850494384766,11.063234658391448,182.92100524902344,244.0330047607422,168,1.0,True,True,True
2021-08-15,110,266.76962751908735,253.6405029296875,63.45184872296986,197.79200744628903,631.9810180664062,168,0.6547619047619048,False,True,False
2021-08-22,168,275.6052148001535,256.3125,61.03961606674216,221.5570068359375,576.5750122070312,168,1.0,True,True,True
2021-08-29,168,270.78408895220076,247.98600006103516,64.13876501076805,201.81500244140625,608.166015625,168,1.0,True,True,True
2021-09-05,106,298.47330244532174,247.3270034790039,93.59863091184431,217.92999267578125,592.2360229492188,168,0.6309523809523809,False,True,False
2021-09-12,168,303.18874386378695,288.4024963378906,46.195210364359326,223.08999633789065,515.1439819335938,168,1.0,True,True,True
2021-09-19,168,287.83510744004025,289.0054931640625,36.695616489474425,231.63699340820312,462.2369995117188,168,1.0,True,True,True
2021-09-26,168,273.8419099535261,258.51100158691406,42.51274719258622,202.93499755859372,466.8919982910156,168,1.0,True,True,True
2021-10-03,153,332.95551713931013,331.68701171875,55.98471695765363,215.83200073242188,480.9469909667969,168,0.9107142857142857,True,True,True
2021-10-10,167,287.8592221379994,265.14898681640625,48.058362791334,207.51499938964844,452.3460083007813,168,0.9940476190476191,True,True,True
2021-10-17,168,299.84488668895904,284.94749450683594,57.923720300893635,204.19200134277344,539.5130004882812,168,1.0,True,True,True
2021-10-24,168,337.79542813982283,339.6105041503906,63.93986998250716,251.44900512695312,513.7139892578125,168,1.0,True,True,True
2021-10-31,150,351.3882600911458,339.03050231933594,55.437923721129316,254.52200317382807,606.135009765625,168,0.8928571428571429,True,True,True
2021-11-07,61,337.13270593862063,327.7200012207031,32.98765009951815,301.82000732421875,477.0539855957031,168,0.3630952380952381,False,True,False
2021-11-14,121,327.85215645782216,311.989990234375,35.728818061200066,285.5459899902344,437.60400390625,168,0.7202380952380952,False,True,False
2021-11-21,168,341.7699056352888,335.9389953613281,28.788146404408256,269.96099853515625,440.1380004882813,168,1.0,True,True,True
2021-11-28,160,341.2284315109253,338.8125,24.28028057044093,287.3630065917969,404.9289855957031,168,0.9523809523809523,True,True,True
2021-12-05,166,366.308421858822,365.07249450683594,36.02204071740924,288.07598876953125,510.4719848632813,168,0.9880952380952381,True,True,True
2021-12-12,167,362.00101658255755,356.2330017089844,37.08623976431684,257.7919921875,504.8410034179688,168,0.9940476190476191,True,True,True
2021-12-19,159,339.1821811124214,337.44500732421875,41.362940690479334,261.8139953613281,479.08599853515625,168,0.9464285714285714,True,True,True
2021-12-26,130,324.3125616220328,335.3415069580078,41.101277899749995,225.73699951171875,412.3789978027344,168,0.7738095238095238,True,True,True
2022-01-02,163,345.4221594874844,341.2869873046875,38.43613636367018,232.2270050048828,452.0750122070313,168,0.9702380952380952,True,True,True
2022-01-09,166,317.42883172092667,322.30751037597656,49.73981069107705,176.74600219726562,465.802001953125,168,0.9880952380952381,True,True,True
2022-01-16,162,309.8740438767421,308.1419982910156,54.921875782869996,133.3780059814453,478.8999938964844,168,0.9642857142857143,True,True,True
2022-01-23,168,328.3402082352411,320.60650634765625,47.95964793227915,165.9010009765625,528.7479858398438,168,1.0,True,True,True
2022-01-30,167,370.7667430032513,362.7850036621094,59.79370831083463,250.54400634765625,599.9420166015625,168,0.9940476190476191,True,True,True
2022-02-06,160,359.38425464630126,354.28399658203125,46.80456512904547,265.77899169921875,539.2979736328125,168,0.9523809523809523,True,True,True
2022-02-13,168,384.33031572614397,380.5540008544922,37.583064411910264,327.23199462890625,542.52197265625,168,1.0,True,True,True
2022-02-20,163,358.4564115372172,352.6220092773437,36.13727570300978,283.9849853515625,550.5599975585938,168,0.9702380952380952,True,True,True
2022-02-27,168,354.95662471226285,344.95249938964844,36.583690698686596,296.37701416015625,523.7529907226562,168,1.0,True,True,True
2022-03-06,166,355.82623382936043,344.7784881591797,50.959210397165705,195.43800354003903,556.1190185546875,168,0.9880952380952381,True,True,True
2022-03-13,166,355.0585965076125,340.2925109863281,41.361485010057315,299.0780029296875,476.77099609375,168,0.9880952380952381,True,True,True
2022-03-20,167,322.9359523750351,316.5429992675781,26.522723802631095,281.5450134277344,444.281005859375,168,0.9940476190476191,True,True,True
2022-03-27,148,310.9245483810837,310.32049560546875,50.88800626123078,216.83599853515625,523.6539916992188,168,0.8809523809523809,True,True,True
2022-04-03,164,341.9665250080388,345.67999267578125,60.812821182983875,211.68299865722656,536.8079833984375,168,0.9761904761904762,True,True,True
2022-04-10,165,354.04651415275805,351.4490051269531,47.841102168176526,208.87399291992188,475.1499938964844,168,0.9821428571428571,True,True,True
2022-04-17,164,322.18191475221295,349.9859924316406,94.53138278377466,0.7429999709129333,436.218994140625,168,0.9761904761904762,True,True,True
2022-04-24,168,344.32251884823756,347.3560028076172,31.424446394079208,216.76199340820312,513.3610229492188,168,1.0,True,True,True
2022-05-01,168,371.9387385050456,352.6525115966797,54.41560398547202,271.19000244140625,540.9390258789062,168,1.0,True,True,True
2022-05-08,162,352.03086363239055,350.52650451660156,39.91064257939355,221.9669952392578,478.16900634765625,168,0.9642857142857143,True,True,True
2022-05-15,167,346.3692932128906,337.9129943847656,40.00400122715471,221.81399536132807,490.66400146484375,168,0.9940476190476191,True,True,True
2022-05-22,166,320.17583134662675,313.9875030517578,44.98195314045003,218.66099548339844,502.489013671875,168,0.9880952380952381,True,True,True
2022-05-29,167,349.06180796366255,345.78399658203125,26.903262151203066,296.2470092773437,462.3980102539063,168,0.9940476190476191,True,True,True
2022-06-05,164,347.5596523750119,346.50550842285156,13.690322026198817,299.75799560546875,386.7319946289063,168,0.9761904761904762,True,True,True
2022-06-12,129,342.852054817732,351.9460144042969,48.56165184236,14.892000198364258,492.2049865722656,168,0.7678571428571429,True,True,True
2022-06-19,167,350.1679344505607,346.3869934082031,119.88594688213044,0.996999979019165,1150.530029296875,168,0.9940476190476191,True,True,True
2022-06-26,164,368.58862937368997,363.6990051269531,27.142097860064894,324.62701416015625,453.4089965820313,168,0.9761904761904762,True,True,True
2022-07-03,167,354.36365824259684,362.2569885253906,40.50245013503658,241.80799865722656,436.4739990234375,168,0.9940476190476191,True,True,True
2022-07-10,165,352.2472793116714,353.90399169921875,27.265347472210046,266.56500244140625,425.2619934082031,168,0.9821428571428571,True,True,True
2022-07-17,158,372.2734170261818,373.3470001220703,32.850769968923906,272.4200134277344,447.4419860839844,168,0.9404761904761905,True,True,True
2022-07-24,167,372.91829384444003,364.7489929199219,35.60271692870098,286.343994140625,521.7529907226562,168,0.9940476190476191,True,True,True
2022-07-31,167,318.3458923510092,346.4830017089844,148.81437737359659,0.1319999992847442,1039.5389404296875,168,0.9940476190476191,True,True,True
2022-08-07,163,200.8047051603443,193.03599548339844,163.27141835412664,0.2509999871253967,662.9130249023438,168,0.9702380952380952,True,True,True
2022-08-14,167,350.75208926629165,353.1449890136719,68.70224493061167,142.38499450683594,486.5889892578125,168,0.9940476190476191,True,True,True
2022-08-21,165,357.2320722175367,353.5069885253906,62.761033504352746,156.75799560546875,552.64599609375,168,0.9821428571428571,True,True,True
2022-08-28,153,345.7030334472656,349.88800048828125,77.71741914409503,174.20599365234375,524.166015625,168,0.9107142857142857,True,True,True
2022-09-04,162,372.00725225754724,351.0534973144531,46.87597617032317,313.3099975585937,510.1369934082031,168,0.9642857142857143,True,True,True
2022-09-11,167,350.09719821221813,337.6430053710937,66.12023241924042,133.45199584960938,512.8599853515625,168,0.9940476190476191,True,True,True
2022-09-18,159,343.17763073039504,343.1730041503906,65.7764272011717,153.49600219726562,453.0270080566406,168,0.9464285714285714,True,True,True
2022-09-25,168,361.84910056704564,341.4409942626953,42.89260235386344,258.9979858398437,457.1600036621094,168,1.0,True,True,True
2022-10-02,124,354.51916996125254,345.2465057373047,43.83206372682029,269.7869873046875,478.9639892578125,168,0.7380952380952381,False,True,False
2022-10-09,147,337.86697977416367,343.00201416015625,73.71138819033895,11.355999946594238,480.9089965820313,168,0.875,True,True,True
2022-10-16,160,341.38854961395265,346.84149169921875,38.622328746104984,240.18899536132807,480.4129943847656,168,0.9523809523809523,True,True,True
2022-10-23,152,347.62436836644224,345.2685089111328,39.4076043676058,223.5619964599609,467.6860046386719,168,0.9047619047619048,True,True,True
2022-10-30,155,349.09328977523313,348.7260131835937,48.703896332736655,185.7729949951172,475.5679931640625,168,0.9226190476190477,True,True,True
2022-11-06,167,307.577132036586,311.4119873046875,63.30703569212234,126.95600128173828,563.8460083007812,168,0.9940476190476191,True,True,True
2022-11-13,160,340.761768245697,318.8199920654297,61.28492778575409,243.1779937744141,490.8940124511719,168,0.9523809523809523,True,True,True
2022-11-20,162,365.7030123722406,372.96299743652344,66.54016267409168,16.93899917602539,520.72900390625,168,0.9642857142857143,True,True,True
2022-11-27,147,368.3654080345517,380.0140075683594,48.58458605662197,212.41200256347656,520.2739868164062,168,0.875,True,True,True
2022-12-04,166,307.9326034827405,317.26499938964844,110.93771237556902,5.525000095367432,581.7349853515625,168,0.9880952380952381,True,True,True
2022-12-11,159,382.1802141681407,375.4679870605469,52.13687224505329,277.7470092773437,507.4500122070313,168,0.9464285714285714,True,True,True
2022-12-18,162,398.6254497575171,420.76548767089844,66.29329246467708,253.4459991455078,529.9229736328125,168,0.9642857142857143,True,True,True
2022-12-25,165,357.19273394960345,353.9970092773437,48.276731999471316,215.41000366210935,455.6969909667969,168,0.9821428571428571,True,True,True
2023-01-01,122,367.1506157546747,381.6894989013672,41.475533521165126,265.04998779296875,431.1520080566406,168,0.7261904761904762,False,True,False
2023-01-08,158,356.08940646014634,355.7635040283203,37.03768097464999,234.26199340820312,466.8789978027344,168,0.9404761904761905,True,True,True
2023-01-15,168,392.920292082287,377.8554992675781,54.69645651536241,286.25201416015625,595.8909912109375,168,1.0,True,True,True
2023-01-22,167,367.1770056079248,360.10400390625,41.583682317497875,265.30499267578125,501.66900634765625,168,0.9940476190476191,True,True,True
2023-01-29,167,370.9767609556278,363.0199890136719,36.64683849924478,297.52301025390625,475.8009948730469,168,0.9940476190476191,True,True,True
2023-02-05,168,365.94791067214237,352.88450622558594,38.511116712908425,300.39801025390625,467.7999877929688,168,1.0,True,True,True
2023-02-12,167,369.9469999210563,367.6659851074219,36.29727845458946,276.09600830078125,488.2630004882813,168,0.9940476190476191,True,True,True
2023-02-19,168,369.1497259594145,367.1844940185547,48.61681784484292,252.60400390625,478.9819946289063,168,1.0,True,True,True
2023-02-26,168,324.0548032124837,319.03399658203125,33.01279261138248,251.12399291992188,431.91900634765625,168,1.0,True,True,True
2023-03-05,166,365.0145899761154,361.5449981689453,41.45832638576221,259.1830139160156,492.6130065917969,168,0.9880952380952381,True,True,True
2023-03-12,168,334.7400418236142,327.77149963378906,60.15695971464825,258.8280029296875,602.0280151367188,168,1.0,True,True,True
