escenario,semanas_imputadas,correlacion_con_base,validacion_RMSE,validacion_MAE,validacion_MAPE,validacion_sMAPE,validacion_semanas_observadas,prueba_RMSE,prueba_MAE,prueba_MAPE,prueba_sMAPE,prueba_semanas_observadas,loglikelihood_burn,model_df,ljung_p_10,ljung_p_20,pronostico_medio_8s,pronostico_min_8s,pronostico_max_8s
"Media, cobertura 75%",10,1.0,35.98770347128732,29.24317657717434,10.797440256694134,10.233800833240654,32,30.233987080982438,28.890216535313836,10.315221585708196,10.02556211175941,7,3,3,0.42849059316218246,0.40273341433034854,312.2411763892517,308.1826018516743,314.14733207648817
"Media, cobertura 50%",1,0.9503297057808655,36.20422445259578,28.6894263216789,10.714642611286216,10.046076320775006,32,29.968225266381054,28.141615852306742,9.923514981965479,9.735625540160175,8,3,3,0.3573918605624414,0.5069921468616934,315.3572387069652,314.09842909154065,317.93824315528
"Media, sin umbral",0,0.9502971979510146,36.20203885980622,28.690897890883477,10.714688960149674,10.046574297723277,32,29.967672091725365,28.141404781615307,9.922902721026396,9.735527485695334,8,3,3,0.3571703799186814,0.5062357194569731,315.3544478706194,314.09464161726595,317.93824852096617
"Mediana, cobertura 75%",10,0.9747681056588193,43.42094023096696,35.75764379629001,13.867935112745721,13.000086538784112,32,35.08286746736358,31.86202483151469,12.603880661375216,12.392231738755347,7,3,3,0.5677416759094691,0.8085020490678827,301.66707060435346,299.7883584396493,302.7174987140925
"Media DM+RE, cobertura 75%",25,0.9661409156459086,35.96029794401582,29.41869769305497,10.763265435899672,10.295012269040418,31,25.7798504592959,24.101174302260535,8.370769950823474,8.390390592275388,7,3,3,0.01938484665815783,0.050905475337817946,305.19487220116855,299.23441133697395,306.6638004919428
